Country,Date,Rmax
Australia,01/06/05,19592.09
Australia,01/11/05,34460.26
Australia,01/06/06,31023.06
Australia,01/11/06,20670.9
Australia,01/06/07,22522.5
Australia,01/11/07,8974
Australia,01/06/08,9239
Australia,01/11/08,21905.7
Australia,01/06/09,21905.7
Australia,01/11/09,21905.7
Australia,01/06/10,49590
Australia,01/11/10,315738.7
Australia,01/06/11,400405.9
Australia,01/11/11,353753.52
Australia,01/06/12,1162576.32
Australia,01/11/12,2196914.32
Australia,01/06/13,2056248.82
Australia,01/11/13,2180150.82
Australia,01/06/14,2472258.6
Australia,01/11/14,4635447.6
Austria,01/06/09,117786.6
Austria,01/11/09,219920.3
Austria,01/06/10,62876.2
Austria,01/11/10,35480
Austria,01/06/11,188670
Austria,01/11/11,205970
Austria,01/06/12,152900
Austria,01/11/12,152900
Austria,01/06/13,152900
Austria,01/11/13,152900
Austria,01/06/14,152900
Austria,01/11/14,596010
Belarus,01/06/05,2032
Belarus,01/11/05,2032
Belarus,01/06/06,2032
Belgium,01/11/05,4650.8
Belgium,01/06/06,4650.8
Belgium,01/11/06,4492.8
Belgium,01/06/07,22401.8
Belgium,01/11/07,7596.8
Belgium,01/06/08,21088.5
Belgium,01/11/08,35432
Belgium,01/06/09,22731
Belgium,01/11/09,22731
Belgium,01/11/10,83840
Belgium,01/06/11,83840
Belgium,01/11/11,64597
Belgium,01/06/12,216944.9
Belgium,01/11/12,152347.9
Belgium,01/06/13,152347.9
Belgium,01/11/13,152347.9
Belgium,01/06/14,319820.9
Belgium,01/11/14,201374
Brazil,01/06/05,12408.56
Brazil,01/11/05,12408.56
Brazil,01/06/06,13160
Brazil,01/11/06,13668.38
Brazil,01/06/07,10722
Brazil,01/11/07,6210
Brazil,01/06/08,16240
Brazil,01/11/08,31778.5
Brazil,01/11/09,64630
Brazil,01/06/10,64630
Brazil,01/11/10,269730
Brazil,01/06/11,269730
Brazil,01/11/11,269730
Brazil,01/06/12,530330
Brazil,01/11/12,465700
Brazil,01/06/13,626000
Brazil,01/11/13,626000
Brazil,01/06/14,1031365
Brazil,01/11/14,1031365
Bulgaria,01/11/05,1860.4
Bulgaria,01/11/08,23415
Bulgaria,01/06/09,23415
Bulgaria,01/11/09,23862
Canada,01/06/05,23503
Canada,01/11/05,22048
Canada,01/06/06,35274
Canada,01/11/06,37316.6
Canada,01/06/07,54818.1
Canada,01/11/07,32139.7
Canada,01/06/08,22864.18
Canada,01/11/08,70479.1
Canada,01/06/09,358740.6
Canada,01/11/09,439783
Canada,01/06/10,403950.3
Canada,01/11/10,422401.2
Canada,01/06/11,640128.7
Canada,01/11/11,1249486.5
Canada,01/06/12,1424183.6
Canada,01/11/12,1858445.7
Canada,01/06/13,1772008.7
Canada,01/11/13,2077841.5
Canada,01/06/14,1959749.8
Canada,01/11/14,1903949.8
China,01/06/05,53479.3
China,01/11/05,59541.85
China,01/06/06,94175.85
China,01/11/06,72192.16
China,01/06/07,96403
China,01/11/07,87176.1
China,01/06/08,140311.3
China,01/11/08,520961.6
China,01/06/09,788125.1
China,01/11/09,1379876.9
China,01/06/10,2992629.8
China,01/11/10,5688792
China,01/06/11,7136315.4
China,01/11/11,10489499.07
China,01/06/12,11397100.01
China,01/11/12,12349895.38
China,01/06/13,47485017.68
China,01/11/13,48549092.87
China,01/06/14,52129820.68
China,01/11/14,52105183.3
Cyprus,01/06/08,9243.89
Denmark,01/11/05,2791
Denmark,01/06/06,2791
Denmark,01/11/06,2791
Denmark,01/11/07,5949.4
Denmark,01/11/08,46472.2
Denmark,01/06/10,81761.1
Denmark,01/11/10,82587
Denmark,01/06/11,198407.8
Denmark,01/11/11,213464
Denmark,01/06/12,162098
Denmark,01/11/12,162098
Denmark,01/06/13,162098
Denmark,01/11/13,162098
Denmark,01/06/14,162098
Denmark,01/11/14,572878
Egypt,01/06/05,1417.92
Egypt,01/11/07,9949
Egypt,01/06/08,9949
Finland,01/06/05,1170
Finland,01/11/05,1710.15
Finland,01/11/06,8200.2
Finland,01/06/07,21233.2
Finland,01/11/07,43986.9
